La Unión;17987;1740;108;1740;18094;76783
Ricote;535;313;0;313;535;7372
Librilla;6325;1379;0;1379;6325;24915
Cartagena;159806;39093;4172;39093;163979;761544
Blanca;758;636;73;636;831;14827
Cehegín;34295;10253;773;10253;35069;87946
Las Torres de Cotillas;22085;1744;579;1744;22664;124683
Puerto Lumbreras;5911;1820;155;1820;6065;57340
Totana;27877;2960;90;2960;27967;97077
Beniel;4984;690;0;690;4984;28973
Abarán;8491;780;0;780;8491;32067
Molina de Segura;119816;4377;418;4377;120235;369715
Alcantarilla;14273;1632;151;1632;14424;82449
Mula;11863;1610;186;1610;12049;61423
Yecla;51181;3545;790;3545;51971;106943
Ceutí;2223;1112;24;1112;2247;62260
Santomera;20820;1396;0;1396;20820;61566
Albudeite;764;278;127;278;891;9645
Los Alcázares;841;2344;64;2344;904;145109
Abanilla;22004;1380;38;1380;22042;51033
Fuente Álamo de Murcia;104221;2617;0;2617;104221;156453
Fortuna;32400;1409;0;1409;32400;72749
Ojós;228;649;0;649;228;2878
Caravaca de la Cruz;52880;2470;8;2470;52888;79434
Águilas;57554;4325;0;4325;57554;141852
Murcia;612753;41710;5488;41710;618240;1484795
Torre Pacheco;30873;18020;298;18020;31171;283883
Alhama de Murcia;15698;2951;399;2951;16096;126120
Mazarrón;61313;3886;335;3886;61648;227852
Alguazas;8528;559;0;559;8528;29510
Pliego;1374;519;0;519;1374;20565
Bullas;12520;760;151;760;12671;71121
San Javier;32412;7457;810;7457;33222;196162
Jumilla;18732;2936;979;2936;19711;65267
Campos del Río;564;252;0;252;564;13789
Villanueva del Río Segura;1772;270;0;270;1772;13679
Lorca;70567;19500;977;19500;71544;215215
Lorquí;15671;1129;201;1129;15872;70253
San Pedro del Pinatar;19999;2259;883;2259;20882;145751
Ulea;365;354;0;354;365;4668
Calasparra;21616;1145;100;1145;21716;63936
Moratalla;24554;6597;116;6597;24670;45081
Cieza;6610;1738;428;1738;7038;64447
Archena;6471;1132;2016;1132;8487;69349
Aledo;2363;312;0;312;2363;7895
