Algorfa;11765;804;261;804;12025;41201
Vilanova d'Alcolea;0;417;0;417;0;4906
Llíria;95912;2958;546;2958;96458;135190
el Camp de Mirra / Campo de Mirra;2073;142;0;142;2073;5432
l'Alfàs del Pi;86905;1548;0;1548;86905;115274
Bolulla;2458;331;0;331;2458;4026
Benicarló;41680;1049;5277;1049;46956;78739
Geldo;170;56;0;56;170;3569
Sot de Ferrer;1813;197;0;197;1813;6201
Carrícola;107;177;0;177;107;613
Argelita;280;101;21;101;300;1839
Almoines;2132;99;0;99;2132;6522
Algímia d'Alfara;5542;168;0;168;5542;7649
Almenara;5203;788;0;788;5203;39853
la Torre de les Maçanes / Torremanzanas;1769;242;0;242;1769;7893
Castellfort;375;64;0;64;375;2397
Cortes de Pallás;4546;1571;773;1571;5319;7919
Loriguilla;15385;193;0;193;15385;26426
Chelva;2641;4083;66;4083;2707;10699
Petrés;2732;77;261;77;2993;5878
Zarra;0;99;0;99;0;3467
Xeraco;4318;1293;115;1293;4434;29470
Massalfassar;1778;989;0;989;1778;8828
l'Alqueria d'Asnar;655;54;0;54;655;3296
Bejís;106;146;0;146;106;3889
Canet d'en Berenguer;1856;633;0;633;1856;23717
Xodos / Chodos;0;288;0;288;0;2395
Llanera de Ranes;598;109;0;109;598;7526
Sollana;5504;670;48;670;5552;23837
Castielfabib;3006;880;0;880;3006;7747
Beniarbeig;1841;1764;0;1764;1841;12569
Aielo de Rugat;142;259;0;259;142;1108
Pilar de la Horadada;56101;5978;4230;5978;60331;211934
Matet;0;113;106;113;106;2241
Castelló de Rugat;4333;555;0;555;4333;9655
Sueca;11454;1785;0;1785;11454;83819
Godella;10341;721;1181;721;11522;46343
Olocau;21537;385;917;385;22455;33737
Guadasséquies;2664;215;0;215;2664;4573
Mutxamel;17259;1847;3037;1847;20296;117137
Titaguas;5975;185;0;185;5975;6970
Orxeta;5401;175;0;175;5401;9202
Alginet;21454;602;0;602;21454;48318
Beniardá;370;334;0;334;370;1503
la Serratella;0;66;0;66;0;1576
Alcàntera de Xúquer;175;83;0;83;175;5579
Alboraia / Alboraya;2123;1395;0;1395;2123;34578
Navajas;388;1087;0;1087;388;8291
Orpesa / Oropesa del Mar;12440;1955;1664;1955;14104;98523
Salem;2508;262;0;262;2508;2508
l'Olleria;16730;332;0;332;16730;19102
Benimodo;705;131;0;131;705;10176
Bufali;1112;78;0;78;1112;1981
Sumacàrcer;528;315;0;315;528;8611
Xirivella;3678;1518;0;1518;3678;32375
Xixona / Jijona;8082;1151;0;1151;8082;19382
Jérica;3215;571;0;571;3215;10631
Museros;5038;476;0;476;5038;16760
Chiva;80616;6191;0;6191;80616;137920
Benagéber;219;311;553;311;772;2401
Pinet;495;216;0;216;495;1192
Higueras;581;175;0;175;581;2271
Eslida;0;296;0;296;0;6668
Massalavés;348;149;0;149;348;7715
Favara;740;244;0;244;740;10502
l'Alqueria de la Comtessa;4443;207;0;207;4443;9808
Benlloc;0;3648;0;3648;0;5991
el Ràfol d'Almúnia;678;855;3842;855;4520;7705
Cofrentes;1086;937;0;937;1086;6936
Catí;786;272;501;272;1287;5491
Caudete de las Fuentes;1586;325;0;325;1586;10623
Algueña;477;219;0;219;477;17007
la Romana;2961;362;0;362;2961;19039
Xàtiva;33761;2258;263;2258;34024;86405
la Pobla de Vallbona;76150;1430;0;1430;76150;145186
Zucaina;1542;387;0;387;1542;4742
Quartell;8344;121;0;121;8344;12213
Algemesí;7467;1118;0;1118;7467;63495
Montroi / Montroy;14923;220;0;220;14923;21929
Enguera;1172;1186;0;1186;1172;14899
Llutxent;8409;734;120;734;8529;8529
Benassal;2108;427;0;427;2108;10004
Domeño;1615;372;0;372;1615;10016
la Pobla de Farnals;3967;860;0;860;3967;18793
Tavernes de la Valldigna;1970;1251;0;1251;1970;45694
Villar del Arzobispo;6595;367;67;367;6662;24149
Benferri;11384;199;0;199;11384;23365
Catral;15543;696;47;696;15590;39750
l'Alcora;5799;1333;75;1333;5874;42464
Beneixama;3812;315;0;315;3812;13790
Agres;19;589;0;589;19;3342
Peníscola / Peñíscola;25860;2109;2919;2109;28779;84150
la Llosa de Ranes;652;142;0;142;652;13207
Bèlgida;258;231;0;231;258;4991
Olocau del Rey;992;111;0;111;992;2176
Dénia;73262;25059;2318;25059;75581;218977
la Vilavella;0;241;0;241;0;12174
Benejúzar;1343;505;0;505;1343;23736
Fontanars dels Alforins;2615;301;0;301;2615;8211
Sella;1524;1071;198;1071;1722;4565
el Fondó de les Neus / Hondón de las Nieves;3006;391;0;391;3006;23823
Alfara de la Baronia;0;98;0;98;0;3932
El Toro;1654;200;0;200;1654;5380
Torás;4660;71;0;71;4660;7782
Gestalgar;2175;103;267;103;2442;8283
Herbés;480;28;0;28;480;1327
Almàssera;170;245;0;245;170;9049
San Fulgencio;15258;8027;0;8027;15258;75799
Pedreguer;17987;7212;0;7212;17987;53644
Orihuela;173949;17498;48703;17498;222652;559658
Villahermosa del Río;0;521;282;521;282;4520
Alpuente;6999;574;0;574;6999;8863
Senyera;981;82;0;82;981;6213
Zorita del Maestrazgo;555;71;0;71;555;3558
Daimús;16006;509;125;509;16131;33227
Gavarda;1231;428;0;428;1231;10304
Castelló de la Plana;56693;10665;763;10665;57457;324764
Càlig;845;139;0;139;845;8985
Alfafara;1441;452;0;452;1441;2526
Algimia de Almonacid;131;215;0;215;131;3528
Andilla;2820;184;0;184;2820;2820
Vallibona;294;132;0;132;294;1910
Beniarrés;3420;581;0;581;3420;4901
Crevillent;41763;2770;165;2770;41928;104239
Paterna;15215;4481;351;4481;15566;253621
Almiserà;1380;135;0;135;1380;3032
el Campello;9736;1425;1202;1425;10938;116496
Alzira;42044;7690;2119;7690;44163;129796
Bicorp;254;532;0;532;254;2874
Benimuslem;253;122;653;122;906;4311
Figueroles;80;181;27;181;107;4605
Bellreguard;4864;292;42;292;4905;22699
Salinas;8529;293;0;293;8529;17239
Catarroja;1645;723;111;723;1756;43004
Cañada;3049;279;0;279;3049;10820
Benifaió;16999;631;0;631;16999;36112
Torrebaja;577;186;0;186;577;4091
Elda;17444;3413;0;3413;17444;103621
Culla;1011;364;269;364;1279;3389
Altea;109917;2609;66;2609;109983;147086
Rafelguaraf;557;408;0;408;557;7861
Aras de los Olmos;4961;392;0;392;4961;5354
Otos;564;167;0;167;564;1314
Pavías;716;165;0;165;716;1319
la Pobla Tornesa;95;357;0;357;95;8959
Daya Vieja;3755;164;0;164;3755;8332
Benilloba;3807;346;0;346;3807;3807
Sierra Engarcerán;677;405;0;405;677;8637
Alcàsser;7734;301;0;301;7734;25857
Camporrobles;1695;260;0;260;1695;15574
Santa Magdalena de Pulpis;0;325;0;325;0;4692
el Castell de Guadalest;1426;392;0;392;1426;2094
Famorca;70;115;0;115;70;502
Ibi;11771;1292;0;1292;11771;59292
Albocàsser;2836;260;0;260;2836;7438
Sellent;289;79;0;79;289;2800
Benissuera;480;144;0;144;480;1538
Riba-roja de Túria;111211;1791;74;1791;111286;201221
Callosa d'en Sarrià;24223;1517;0;1517;24223;30763
Càrcer;1429;141;0;141;1429;10562
Tormos;738;608;0;608;738;2274
Torralba del Pinar;175;207;100;207;274;1139
Sagra;441;770;0;770;441;2577
Villores;177;28;0;28;177;2045
Millares;83;655;0;655;83;2684
Cortes de Arenoso;2767;108;0;108;2767;5556
Castellonet de la Conquesta;1145;180;0;180;1145;1145
Portell de Morella;631;91;0;91;631;2642
Vilamarxant;52901;1135;0;1135;52901;82829
Puçol;12848;1469;142;1469;12990;52978
Guardamar del Segura;14609;3092;1130;3092;15739;102111
Sax;1769;1968;0;1968;1769;28047
Xilxes / Chilches;438;390;31;390;469;26217
Quart de Poblet;12032;1069;0;1069;12032;39846
Tibi;12868;490;0;490;12868;18155
Aspe;15186;4324;364;4324;15550;71527
Macastre;7114;390;418;390;7532;11350
Vall de Almonacid;0;147;0;147;0;3732
Albalat dels Sorells;4775;149;0;149;4775;13849
La Yesa;2759;74;0;74;2759;2759
Fuenterrobles;6585;197;0;197;6585;8926
Benissa;70077;4761;0;4761;70077;129224
Ares del Maestrat;631;275;0;275;631;4078
Moncada;8098;989;367;989;8465;66023
Foios;4863;183;0;183;4863;19635
Vallat;0;190;0;190;0;1103
Albal;17501;425;0;425;17501;46335
la Vall d'Alcalà;96;482;0;482;96;1242
Carcaixent;8957;1396;45;1396;9003;56283
Fuentes de Ayódar;294;108;377;108;671;948
Alfarrasí;5165;235;0;235;5165;5165
Turís;40310;2719;687;2719;40997;60753
Sant Joanet;613;88;0;88;613;4345
Murla;0;1003;0;1003;0;3244
les Alqueries / Alquerías del Niño Perdido;1158;428;0;428;1158;30087
Rotglà i Corberà;465;116;0;116;465;6059
Teresa de Cofrentes;1930;165;0;165;1930;6965
Planes;3437;762;167;762;3603;6531
Serra;10272;753;0;753;10272;29571
Guardamar de la Safor;2904;117;0;117;2904;6671
Cullera;24229;3124;409;3124;24638;80980
les Coves de Vinromà;5147;424;0;424;5147;13076
Burjassot;4170;1339;0;1339;4170;39152
Rugat;106;225;0;225;106;1920
Rafal;1671;350;0;350;1671;21220
Benissanó;2724;146;0;146;2724;10550
Callosa de Segura;18609;1499;0;1499;18609;56592
Costur;292;128;346;128;638;5824
Faura;538;101;0;101;538;9181
Vall d'Alba;9384;697;177;697;9561;23943
Casas Altas;3072;138;0;138;3072;3820
Benafigos;0;126;85;126;85;1859
Hondón de los Frailes;1936;187;0;187;1936;6919
el Real de Gandia;7287;207;0;207;7287;14194
Vinaròs;39898;1819;104;1819;40003;140493
Miramar;7017;321;0;321;7017;19269
Balones;288;141;0;141;288;1449
Finestrat;28942;1491;0;1491;28942;76531
Monforte del Cid;12416;1128;2202;1128;14619;71667
Torrella;662;29;0;29;662;1551
Relleu;4132;182;774;182;4907;4907
Picassent;60728;1571;5273;1571;66001;104962
San Rafael del Río;0;85;93;85;93;4583
Manises;22698;1364;0;1364;22698;88243
Valle Santo Espíritu;3243;439;654;439;3898;8212
Fuente la Reina;24;27;0;27;24;618
Tollos;179;204;0;204;179;869
Xàbia / Jávea;112102;10346;160;10346;112262;291626
Atzeneta d'Albaida;5176;308;67;308;5244;5244
Chulilla;1999;798;0;798;1999;3531
la Jana;437;93;0;93;437;4588
Vilafranca / Villafranca del Cid;1583;376;146;376;1728;19096
Muro de Alcoy;6397;1329;0;1329;6397;23328
Alcalà de Xivert;10196;3276;469;3276;10665;60788
Villanueva de Viver;240;47;0;47;240;1720
Onda;4515;6278;3009;6278;7525;78648
Benifallim;415;94;0;94;415;1499
Beniflá;550;43;0;43;550;3124
Teresa;146;57;1329;57;1475;2154
Xeresa;9273;408;0;408;9273;9273
Alfauir;153;185;0;185;153;2280
Benimarfull;340;136;74;136;414;3440
Almedíjar;1562;57;0;57;1562;3475
la Granja de la Costera;879;44;0;44;879;2563
Montán;2092;174;0;174;2092;6690
Benimassot;612;165;0;165;612;902
Calp;83132;11942;0;11942;83132;167707
Benigembla;354;737;0;737;354;3314
Barxeta;1012;972;0;972;1012;6124
la Pobla del Duc;12557;397;0;397;12557;12557
Ademuz;6993;381;82;381;7076;10052
Pego;6765;3084;0;3084;6765;49903
l'Atzúbia;100;859;0;859;100;4049
Puebla de Arenoso;762;582;0;582;762;2596
Montaverner;9975;427;0;427;9975;9975
Estubeny;42;62;0;62;42;735
San Isidro;2256;260;0;260;2256;24293
la Font d'en Carròs;4278;550;0;550;4278;11576
Chera;124;256;49;256;173;5810
Benigànim;21772;1267;181;1267;21953;28466
Piles;4509;360;0;360;4509;19690
Fortaleny;6;85;0;85;6;5006
Calles;3472;1442;0;1442;3472;6581
Montserrat;10902;634;29702;634;40603;55816
Palanques;0;29;0;29;0;1038
Ludiente;590;56;0;56;590;2155
Tàrbena;23;795;0;795;23;1999
Llocnou de Sant Jeroni;0;278;0;278;0;1330
la Vila Joiosa / Villajoyosa;46785;2433;602;2433;47386;82848
Llaurí;2287;238;0;238;2287;6037
Novetlè / Novelé;144;120;0;120;144;4030
Aigües;4185;264;0;264;4185;9119
Aielo de Malferit;435;265;0;265;435;13831
València;21516;36513;16;36513;21533;583665
Torrechiva;142;323;0;323;142;1772
Albalat dels Tarongers;21968;425;0;425;21968;24686
Cervera del Maestre;1066;153;0;153;1066;4758
la Mata;1478;40;0;40;1478;1478
Dos Aguas;358;848;0;848;358;1761
Santa Pola;57736;4997;6663;4997;64399;137985
Antella;2994;379;0;379;2994;8292
Dolores;20741;557;0;557;20741;44618
Puebla de San Miguel;281;153;189;153;470;1186
Nules;4067;1062;74;1062;4141;43452
Daya Nueva;1911;305;0;305;1911;14165
Corbera;1410;326;0;326;1410;9272
Ayódar;395;253;0;253;395;3498
Anna;1076;666;0;666;1076;11537
Rojales;46686;2258;5525;2258;52212;199124
Suera / Sueras;310;611;0;611;310;5190
Benifato;180;380;0;380;180;543
Requena;55432;2949;547;2949;55979;121315
la Vall d'Uixó;6806;2254;288;2254;7094;95930
Llucena / Lucena del Cid;1409;573;936;573;2345;7945
Alfondeguilla;0;254;0;254;0;3467
Barracas;148;243;0;243;148;2393
Vilar de Canes;0;99;0;99;0;1783
Alcoleja;96;97;0;97;96;1140
Benifairó de la Valldigna;280;1447;0;1447;280;6751
Carlet;11605;663;0;663;11605;53691
Albatera;12146;501;146;501;12292;41441
Atzeneta del Maestrat;201;442;12;442;213;8636
els Poblets;1950;918;181;918;2131;38571
Sant Joan de Moró;391;598;196;598;587;17241
Rafelcofer;3183;60;0;60;3183;3183
Petrer;10361;4435;1716;4435;12077;78544
Higueruelas;4514;85;0;85;4514;5915
Castillo de Villamalefa;0;190;144;190;144;4572
Chóvar;0;404;28;404;28;4207
Jacarilla;1883;649;0;649;1883;14314
la Salzadella;897;100;0;100;897;4356
Montanejos;353;1171;0;1171;353;2757
Segart;4148;206;0;206;4148;4785
Torrevieja;100580;12290;27787;12290;128367;408881
Torreblanca;4337;751;0;751;4337;36177
Navarrés;641;436;0;436;641;12076
Sagunt / Sagunto;83539;5221;654;5221;84194;237136
Almassora;4390;1803;6127;1803;10517;91035
Tavernes Blanques;1273;128;0;128;1273;11159
la Vall d'Ebo;48;858;0;858;48;1362
Simat de la Valldigna;351;1766;0;1766;351;9206
Quesa;179;430;0;430;179;3269
Cheste;32052;1149;333;1149;32385;57356
Traiguera;1582;281;0;281;1582;8023
Betxí;12747;388;0;388;12747;32846
