La Unión;17987;1732;108;1732;18094;76783
Ricote;535;309;0;309;535;7372
Librilla;6325;1375;0;1375;6325;24916
Cartagena;159460;38699;4174;38699;163634;761042
Blanca;758;636;73;636;831;14827
Cehegín;35985;1262;681;1262;36666;87955
Las Torres de Cotillas;22130;1678;579;1678;22709;124663
Puerto Lumbreras;5911;1785;155;1785;6065;57340
Totana;43454;2599;90;2599;43544;97232
Beniel;4984;682;0;682;4984;28973
Abarán;8491;780;0;780;8491;32067
Molina de Segura;142994;4212;418;4212;143412;366659
Alcantarilla;21909;1609;151;1609;22061;80888
Mula;11863;1530;186;1530;12049;61423
Yecla;51060;3490;790;3490;51849;106940
Ceutí;2223;1097;24;1097;2247;62260
Santomera;20750;1218;0;1218;20750;61498
Albudeite;764;278;127;278;891;9645
Los Alcázares;785;2318;64;2318;849;145109
Abanilla;22049;1373;38;1373;22086;51083
Fuente Álamo de Murcia;105451;2592;0;2592;105451;156457
Fortuna;32401;1407;0;1407;32401;72750
Ojós;228;629;0;629;228;2878
Caravaca de la Cruz;55353;1829;8;1829;55361;81927
Águilas;60724;4308;0;4308;60724;142570
Murcia;639432;38945;5676;38945;645108;1462702
Torre Pacheco;31921;17798;298;17798;32219;280023
Alhama de Murcia;49778;2905;399;2905;50177;126119
Mazarrón;75475;3838;0;3838;75475;162581
Alguazas;8528;563;0;563;8528;29511
Pliego;1374;519;0;519;1374;20565
Bullas;18346;734;151;734;18497;64285
San Javier;32413;7404;810;7404;33223;196167
Jumilla;21520;2891;979;2891;22498;64090
Campos del Río;564;248;0;248;564;13789
Villanueva del Río Segura;1772;268;0;268;1772;13679
Lorca;82626;19150;977;19150;83603;208434
Lorquí;15672;1093;201;1093;15873;70252
San Pedro del Pinatar;19999;2248;883;2248;20882;145751
Ulea;365;333;0;333;365;4668
Calasparra;21616;1136;100;1136;21716;63936
Moratalla;25462;6463;0;6463;25462;45173
Cieza;6553;1590;428;1590;6981;41912
Archena;6471;1134;2016;1134;8487;69349
Aledo;2514;297;0;297;2514;8044
