Mingorría;1100;182;0;182;1100;6486
Casasola;1900;75;0;75;1900;3372
El Oso;0;152;0;152;0;3788
Fuente el Sauz;375;29;0;29;375;3713
Navarrevisca;4743;1024;0;1024;4743;4743
Villaflor;0;82;0;82;0;2786
Navacepedilla de Corneja;0;67;0;67;0;2598
Palacios de Goda;382;133;0;133;382;7183
Puerto Castilla;299;156;0;156;299;3532
Higuera de las Dueñas;4847;61;0;61;4847;4847
Candeleda;10833;1951;0;1951;10833;26016
Cebreros;4355;1697;0;1697;4355;30165
Nava del Barco;1437;135;0;135;1437;3178
La Torre;2769;257;0;257;2769;11642
San García de Ingelmos;0;61;0;61;0;2964
Pozanco;0;80;0;80;0;1876
Tórtoles;0;109;0;109;0;3382
Santo Domingo de las Posadas;538;128;0;128;538;2394
Narros del Puerto;0;57;0;57;0;4338
Aldeanueva de Santa Cruz;0;72;0;72;0;1885
Sanchorreja;44;153;0;153;44;2138
Manjabálago;1025;32;0;32;1025;2440
Muñana;0;206;0;206;0;12387
Casillas;1548;188;0;188;1548;6541
Sinlabajos;0;29;0;29;0;3157
Mesegar de Corneja;0;61;0;61;0;3179
Santa María del Berrocal;0;158;0;158;0;7662
Valdecasa;0;54;0;54;0;2726
Albornos;0;92;0;92;0;3352
Poyales del Hoyo;5708;74;0;74;5708;5822
Las Berlanas;0;138;0;138;0;7224
Gavilanes;6711;472;368;472;7078;7402
Mijares;3392;337;0;337;3392;6052
El Barco de Ávila;295;342;0;342;295;21096
Las Navas del Marqués;17040;1212;58;1212;17098;79073
Mediana de Voltoya;402;103;0;103;402;3392
Navarredonda de Gredos;1531;719;0;719;1531;11385
Horcajo de las Torres;1350;1394;0;1394;1350;6813
El Parral;0;76;0;76;0;2504
Bercial de Zapardiel;0;44;0;44;0;3250
Malpartida de Corneja;3642;88;0;88;3642;3642
Guisando;2143;221;0;221;2143;4521
Navaescurial;633;34;0;34;633;1290
Narros del Castillo;0;123;0;123;0;3314
Muñopepe;467;42;0;42;467;1246
Solosancho;3171;319;0;319;3171;21110
Sigeres;0;87;0;87;0;2085
Mironcillo;0;120;0;120;0;3558
Pradosegar;627;71;0;71;627;2481
Navatejares;484;50;0;50;484;1867
Mengamuñoz;542;119;0;119;542;1957
Navalmoral;5840;177;0;177;5840;7640
Navaluenga;18215;394;0;394;18215;25123
Muñogrande;0;378;0;378;0;3425
Martínez;94;88;0;88;94;3478
Hurtumpascual;1814;74;0;74;1814;3620
La Adrada;26664;477;1042;477;27706;37952
Berrocalejo de Aragona;290;79;0;79;290;2594
Zapardiel de la Cañada;0;144;0;144;0;4438
Cabezas de Alambre;0;42;0;42;0;3411
Navadijos;2178;24;0;24;2178;2178
Vita;0;93;0;93;0;2466
El Barraco;11688;2847;0;2847;11688;33286
Hoyorredondo;89;123;0;123;89;3200
Ojos-Albos;764;79;0;79;764;3243
Blascosancho;375;316;0;316;375;5277
Hoyos del Collado;154;21;74;21;228;1041
Peñalba de Ávila;0;186;0;186;0;5773
Diego del Carpio;907;185;0;185;907;7754
Bularros;0;136;0;136;0;4228
Canales;507;20;0;20;507;1627
Maello;824;821;0;821;824;50946
Hoyocasero;3884;166;0;166;3884;6627
Navarredondilla;4687;97;0;97;4687;4687
Villanueva del Aceral;0;51;0;51;0;3008
Villanueva de Ávila;8819;227;41;227;8860;9809
Piedralaves;9508;596;0;596;9508;17185
Casavieja;1342;542;0;542;1342;13893
Crespos;0;1389;0;1389;0;10560
Nava de Arévalo;0;271;0;271;0;12913
La Serrada;0;83;0;83;0;3030
Villanueva de Gómez;0;265;0;265;0;3759
Narrillos del Álamo;123;99;0;99;123;3548
Fresnedilla;2130;31;0;31;2130;2130
Tolbaños;2560;226;0;226;2560;6161
Muñico;170;73;144;73;315;4514
San Miguel de Serrezuela;0;129;0;129;0;5154
Pedro-Rodríguez;80;84;0;84;80;3136
Medinilla;143;61;0;61;143;4378
San Miguel de Corneja;0;60;0;60;0;2134
Muñosancho;0;51;0;51;0;3518
Hoyos del Espino;2785;301;0;301;2785;10203
Fuentes de Año;0;52;0;52;0;3721
Cabezas del Pozo;0;30;0;30;0;2545
Santiago del Tormes;0;563;0;563;0;8012
Moraleja de Matacabras;0;19;0;19;0;1748
Narros de Saldueña;71;29;0;29;71;2464
Barromán;0;56;0;56;0;3906
San Martín de la Vega del Alberche;636;82;0;82;636;5927
Lanzahíta;10028;173;293;173;10320;12431
Gemuño;0;70;0;70;0;3990
Bernuy-Zapardiel;327;38;0;38;327;3131
Cardeñosa;0;216;0;216;0;5347
Neila de San Miguel;0;37;0;37;0;2608
Gilbuena;0;44;0;44;0;2143
Mirueña de los Infanzones;3701;61;0;61;3701;3701
Gutierre-Muñoz;0;118;0;118;0;2058
Navahondilla;12284;372;0;372;12284;13834
Solana de Rioalmar;0;238;0;238;0;7051
Bohoyo;0;410;0;410;0;6503
Hernansancho;1272;155;0;155;1272;3975
Cisla;581;49;58;49;639;3479
San Martín del Pimpollar;1969;191;206;191;2174;5853
El Fresno;1595;112;0;112;1595;6114
Arenas de San Pedro;30814;1171;208;1171;31022;42680
Donjimeno;0;20;0;20;0;2997
Riocabado;655;80;0;80;655;5420
Chamartín;0;109;0;109;0;2266
Tiñosillos;980;281;264;281;1244;7751
Tormellas;0;68;0;68;0;1547
Padiernos;0;145;0;145;0;8937
San Bartolomé de Pinares;1272;2142;127;2142;1399;9340
Gil García;103;40;0;40;103;1007
Navaquesera;2683;59;77;59;2760;2760
Cabezas del Villar;997;186;0;186;997;10174
Salvadiós;0;90;0;90;0;2820
Aldeaseca;0;44;0;44;0;3254
Gallegos de Sobrinos;4094;55;0;55;4094;4094
San Pedro del Arroyo;326;225;0;225;326;10043
Narrillos del Rebollar;0;63;0;63;0;2828
Mancera de Arriba;0;54;0;54;0;3545
Sanchidrián;577;555;0;555;577;15226
Espinosa de los Caballeros;0;105;0;105;0;2215
Adanero;0;1056;0;1056;0;6582
Junciana;0;50;0;50;0;2023
Madrigal de las Altas Torres;0;579;0;579;0;14647
Villar de Corneja;0;138;0;138;0;1214
Arévalo;444;755;0;755;444;37782
Viñegra de Moraña;0;127;0;127;0;2483
San Juan de Gredos;2149;584;0;584;2149;9008
San Esteban de los Patos;0;54;0;54;0;2036
