Paradas;25849;280;0;280;25849;30613
Iznatoraf;830;210;0;210;830;5884
Balanegra;470;123;0;123;470;11591
Castilléjar;817;325;0;325;817;25987
Vélez-Blanco;6179;428;0;428;6179;14054
Uleila del Campo;404;208;0;208;404;7401
La Lantejuela;2118;176;0;176;2118;21869
Gérgal;7892;883;0;883;7892;24595
Isla Mayor;5943;465;0;465;5943;27145
Cogollos de la Vega;0;372;0;372;0;11465
Jódar;11246;448;0;448;11246;38545
Alameda;3710;237;0;237;3710;22215
Antas;9389;692;0;692;9389;23441
Marmolejo;3498;777;0;777;3498;27913
Alicún;0;67;0;67;0;1563
Dúdar;0;74;0;74;0;5242
La Mojonera;1596;590;0;590;1596;33856
Villardompardo;38;91;0;91;38;4575
Turón;96;144;0;144;96;4963
Víznar;20;280;0;280;20;6755
Urrácal;80;37;0;37;80;2461
Monda;16331;828;0;828;16331;25652
Dos Hermanas;67728;6383;3307;6383;71035;299588
Lecrín;6343;451;0;451;6343;11913
Casariche;5149;459;0;459;5149;30612
Hinojosa del Duque;3668;928;0;928;3668;32235
Benamejí;1225;233;0;233;1225;16549
Iznalloz;36;1037;0;1037;36;29598
Coripe;765;190;0;190;765;7549
Huétor Vega;9;613;35;613;44;52361
El Pedroso;8801;245;58;245;8859;11636
Puerto Serrano;352;425;0;425;352;29290
Maracena;79;959;0;959;79;46256
Cambil;2008;497;533;497;2541;11155
Cortes de Baza;3876;782;0;782;3876;40844
Frigiliana;3845;1226;0;1226;3845;14413
Valdelarco;724;73;95;73;819;3131
Villaluenga del Rosario;3025;113;0;113;3025;3025
Rincón de la Victoria;1607;5241;0;5241;1607;129270
Santa Olalla del Cala;1526;304;98;304;1624;12376
Huércal de Almería;3062;2434;158;2434;3220;69401
Quéntar;0;230;0;230;0;5861
San Juan del Puerto;9020;1507;0;1507;9020;27633
La Victoria;1113;149;0;149;1113;14407
Serón;8431;281;0;281;8431;8431
Soportújar;28;75;0;75;28;1654
Berrocal;2641;101;0;101;2641;2641
Montellano;16811;274;0;274;16811;33817
Atarfe;0;8439;0;8439;0;110016
Villafranca de Córdoba;5301;347;0;347;5301;19373
Luque;3580;363;0;363;3580;13039
Arjona;641;1489;0;1489;641;20277
Santa Fe de Mondújar;176;204;0;204;176;2543
Cañaveral de León;887;53;0;53;887;2780
Jérez del Marquesado;0;603;0;603;0;11104
Archidona;4104;1166;0;1166;4104;38622
Los Barrios;61793;2140;0;2140;61793;77937
Agrón;0;73;0;73;0;3973
Marinaleda;8549;182;0;182;8549;13537
Almodóvar del Río;28751;618;0;618;28751;48191
Calicasas;52;68;0;68;52;3401
El Ronquillo;2942;285;0;285;2942;11834
Conquista;1100;97;0;97;1100;3348
Benizalón;0;96;0;96;0;2323
Polopos;221;344;0;344;221;11071
Higuera de Calatrava;1103;77;0;77;1103;5192
Cantillana;2198;587;0;587;2198;39963
Benalmádena;19517;3027;4263;3027;23781;199322
Benalauría;2591;101;0;101;2591;2857
La Rambla;1638;439;0;439;1638;26416
Espeluy;499;96;0;96;499;6022
San Fernando;41985;4929;287;4929;42272;117266
Torre-Cardela;0;110;0;110;0;8640
Olivares;1221;727;0;727;1221;31113
Bayárcal;733;218;0;218;733;3162
Laroya;12;37;0;37;12;1680
Gines;1870;3986;0;3986;1870;45463
Padul;2494;1222;0;1222;2494;88083
Torrox;18767;3641;0;3641;18767;59333
Guadahortuna;0;205;0;205;0;10770
Carcabuey;1063;156;0;156;1063;9802
Castilleja del Campo;797;68;0;68;797;3274
Albuñol;0;857;0;857;0;25475
Baza;11484;1923;0;1923;11484;150799
Las Navas de la Concepción;6735;74;0;74;6735;6735
Frailes;1061;141;0;141;1061;10881
Bollullos de la Mitación;2064;1021;0;1021;2064;63781
Pinos Genil;6;237;0;237;6;9904
Caniles;476;659;0;659;476;43109
Lentegí;262;102;0;102;262;2555
Alhaurín el Grande;44726;963;0;963;44726;76042
Gelves;10052;501;91;501;10144;39632
El Cuervo de Sevilla;7663;528;0;528;7663;39229
Cacín;0;172;0;172;0;8253
Aljaraque;19049;1587;285;1587;19334;134744
Torreperogil;2886;443;691;443;3577;28981
Fernán-Núñez;4030;371;0;371;4030;33543
Alhama de Almería;1925;286;0;286;1925;15464
El Valle;3099;226;0;226;3099;8410
Cádiar;0;404;34;404;34;11861
Villanueva del Arzobispo;1478;1741;84;1741;1563;17313
Villablanca;2509;233;154;233;2663;7798
Purchena;7676;253;0;253;7676;10604
Segura de la Sierra;4814;533;0;533;4814;16419
Ítrabo;0;221;0;221;0;6281
Cortes y Graena;0;247;0;247;0;13597
La Granjuela;513;102;0;102;513;4077
Bayarque;65;76;0;76;65;2846
Cúllar;4941;1064;0;1064;4941;45698
San Silvestre de Guzmán;1537;104;0;104;1537;4923
Fines;1221;188;0;188;1221;22658
Montizón;162;230;0;230;162;15032
Alcolea;658;323;0;323;658;5448
La Rinconada;47052;3439;0;3439;47052;140975
Chipiona;39192;2125;405;2125;39598;98071
Aguadulce;10118;131;0;131;10118;10118
Albaida del Aljarafe;290;282;0;282;290;10486
Fuerte del Rey;303;160;0;160;303;9415
Higuera de la Sierra;1508;155;0;155;1508;7382
Pegalajar;1285;256;0;256;1285;14010
Puerto Moral;294;50;0;50;294;2164
Olula de Castro;0;135;0;135;0;3392
Arahal;16098;984;8476;984;24574;77886
Los Marines;2517;106;0;106;2517;2517
Sorihuela del Guadalimar;153;254;0;254;153;11070
Puente de Génave;6960;659;0;659;6960;18725
Alcóntar;2071;144;142;144;2213;6658
Alozaina;1215;352;0;352;1215;10353
La Calahorra;0;310;0;310;0;11074
La Granada de Río-Tinto;3153;72;0;72;3153;5001
Valle del Zalabí;27;557;0;557;27;25293
Alosno;22461;392;0;392;22461;22461
Láchar;0;306;0;306;0;33648
Beas de Segura;3507;477;31;477;3538;20586
Sanlúcar de Barrameda;129264;2617;899;2617;130163;217164
Santiago de Calatrava;211;118;0;118;211;4453
Nigüelas;0;272;0;272;0;22860
Cijuela;0;169;0;169;0;20583
Montilla;8651;1165;0;1165;8651;55143
Torre del Campo;5467;870;0;870;5467;45993
Alcalá la Real;31409;1880;518;1880;31928;81940
Churriana de la Vega;1240;617;0;617;1240;54544
Fuente Vaqueros;95;269;0;269;95;27199
Alájar;2424;263;0;263;2424;6597
Trigueros;9108;283;0;283;9108;26711
Busquístar;0;147;0;147;0;3242
Obejo;894;295;0;295;894;9932
Alcaucín;11578;1596;0;1596;11578;21739
Castellar;760;291;0;291;760;17786
Santo Tomé;272;546;0;546;272;15348
Beires;26;59;0;59;26;1887
Monturque;617;153;0;153;617;7394
Fonelas;0;146;0;146;0;9662
El Rubio;6842;126;0;126;6842;17252
Benahadux;1522;376;53;376;1575;16693
Cardeña;3673;462;0;462;3673;9564
Dos Torres;4770;299;0;299;4770;18433
Puerto Real;37427;2664;3651;2664;41077;124165
Cabra del Santo Cristo;1906;193;0;193;1906;9568
La Peza;0;289;0;289;0;10693
Huesa;935;522;0;522;935;13292
La Puebla de los Infantes;2396;237;0;237;2396;15515
Paymogo;5262;77;0;77;5262;5262
Lora de Estepa;1558;184;0;184;1558;11080
Los Guájares;0;361;0;361;0;9171
Gobernador;0;107;0;107;0;3890
Júzcar;171;155;0;155;171;2233
El Garrobo;3031;272;0;272;3031;9454
Pulianas;35;590;0;590;35;26556
Porcuna;3715;349;0;349;3715;31106
Lanteira;0;119;0;119;0;6277
Roquetas de Mar;25123;4148;414;4148;25537;267544
Cazalilla;781;89;0;89;781;5344
Dólar;15;330;0;330;15;9510
Benitagla;0;35;0;35;0;1647
Vélez de Benaudalla;50;686;0;686;50;18764
Valencina de la Concepción;3794;1057;0;1057;3794;44816
Benacazón;1157;495;0;495;1157;25022
Las Gabias;5533;3358;142;3358;5675;85913
Sorbas;334;5947;0;5947;334;17518
Bentarique;236;47;0;47;236;1983
Castillo de Locubín;2898;326;0;326;2898;19520
Morelábor;18;202;0;202;18;9127
Villanueva de los Castillejos;13958;194;0;194;13958;13958
Puebla de Guzmán;4510;390;0;390;4510;17645
Almuñécar;31;4197;0;4197;31;153190
Villanueva de las Cruces;2253;46;0;46;2253;2253
Rioja;35;389;0;389;35;6163
Torrenueva Costa;0;321;0;321;0;11695
Galaroza;3557;235;0;235;3557;9799
Castilblanco de los Arroyos;22371;514;0;514;22371;40734
Guaro;5204;178;0;178;5204;5204
Salares;1037;255;0;255;1037;2525
Torres de Albánchez;734;134;0;134;734;5899
Atajate;97;134;0;134;97;1833
Valverde del Camino;4801;691;0;691;4801;47571
Gaucín;49;1977;0;1977;49;6894
Puente Genil;27304;809;118;809;27422;79538
Los Corrales;1878;322;0;322;1878;18346
Gójar;0;381;0;381;0;46074
Genalguacil;5227;90;0;90;5227;7043
Génave;242;137;0;137;242;4999
María;10861;301;0;301;10861;15030
Ohanes;64;158;0;158;64;7060
Valderrubio;0;120;0;120;0;14061
Jabalquinto;1520;320;0;320;1520;13304
Fuente Obejuna;15083;1091;0;1091;15083;41314
El Borge;106;1426;0;1426;106;6126
Nívar;0;195;0;195;0;12321
Cuevas del Almanzora;25450;1727;123;1727;25573;73708
Los Blázquez;91;199;0;199;91;4575
Aldeire;0;334;0;334;0;10124
Noalejo;3258;178;0;178;3258;12024
Fornes;19;99;0;99;19;5043
Colomera;1493;275;0;275;1493;9702
Mollina;5774;498;2716;498;8490;28245
Algarinejo;0;341;0;341;0;16600
Moriles;676;122;16;122;692;12881
Hinojos;8040;1463;0;1463;8040;26683
Chiclana de Segura;3859;277;0;277;3859;10958
Vélez-Málaga;53731;18385;0;18385;53731;247296
Cártama;35354;1360;215;1360;35569;78302
Lora del Río;33748;688;234;688;33981;53557
Riogordo;1166;1091;0;1091;1166;12381
Padules;44;92;0;92;44;5273
Cádiz;13668;5989;198;5989;13866;84264
Trevélez;0;419;0;419;0;4592
Alfacar;13;522;0;522;13;34677
Montejícar;45;147;0;147;45;12349
Faraján;278;24;0;24;278;278
Arenas del Rey;80;298;0;298;80;6068
Carratraca;2334;79;0;79;2334;5501
Lahiguera;1756;178;0;178;1756;9500
Huelva;33228;4584;3269;4584;36498;187930
Linares;24341;2513;1377;2513;25718;142171
Jerez de la Frontera;75069;25491;9178;25491;84247;506952
Úbeda;4825;5901;4182;5901;9007;95031
Alfarnatejo;1594;191;0;191;1594;4080
Huéneja;0;568;0;568;0;18067
Paterna del Río;316;126;0;126;316;6547
Santaella;8668;477;0;477;8668;31759
Albánchez;4138;135;0;135;4138;7874
Terque;635;101;0;101;635;5213
Zagra;0;208;0;208;0;4161
Huétor de Santillán;0;575;915;575;915;17574
