Llanera;24179;3122;0;3122;24179;51717
Valdés;110221;3684;1073;3684;111294;129119
Morcín;7662;762;1614;762;9276;9869
Cangas de Onís;16304;3236;315;3236;16620;20309
Villaviciosa;28905;3955;0;3955;28905;44995
Ribera de Arriba;5235;794;117;794;5352;5352
Santo Adriano;2375;761;1233;761;3608;4659
Siero;43335;12256;1343;12256;44679;91914
Cudillero;55965;2258;2707;2258;58673;59882
Ribadesella;22512;2908;46;2908;22558;38228
Yernes y Tameza;3436;728;0;728;3436;3436
Gijón/Xixón;12472;29859;1337;29859;13809;353114
Candamo;3605;448;0;448;3605;3605
Illas;771;380;833;380;1604;2340
Santa Eulalia de Oscos;10981;406;0;406;10981;11506
Piloña;25222;9933;939;9933;26161;31910
Cangas del Narcea;134113;3369;1728;3369;135841;145388
Mieres;45534;4998;305;4998;45839;71496
Ponga;7765;1685;514;1685;8279;12969
Navia;52942;2297;0;2297;52942;60569
Sobrescobio;12063;1129;0;1129;12063;12085
Lena;44716;5732;3322;5732;48037;59128
Quirós;28683;4897;204;4897;28887;28887
Bimenes;5443;4342;0;4342;5443;5443
Tineo;91319;2201;117;2201;91436;95153
Peñamellera Alta;9043;1460;0;1460;9043;9235
Pravia;13780;1014;0;1014;13780;20906
Degaña;8830;216;0;216;8830;8830
Cabrales;43;8649;47;8649;90;4275
Riosa;4811;478;953;478;5764;7749
Pesoz;5476;192;164;192;5640;5640
Tapia de Casariego;30294;1194;0;1194;30294;42949
Llangréu/Langreo;25171;14037;294;14037;25466;93226
Teverga;29177;865;1069;865;30247;30930
Cabranes;7159;497;628;497;7787;7787
Vegadeo;26265;1324;3935;1324;30199;35048
Coaña;26633;1059;0;1059;26633;27355
Taramundi;14184;2138;423;2138;14607;16384
Corvera de Asturias;15900;1956;0;1956;15900;38481
Castrillón;44505;3342;378;3342;44883;82048
Nava;20731;928;408;928;21138;27689
Ibias;38634;1323;333;1323;38966;38966
Salas;25413;1908;2042;1908;27455;36442
Gozón;22288;2095;33;2095;22321;39850
Soto del Barco;15638;716;0;716;15638;25412
San Tirso de Abres;9318;558;0;558;9318;9715
Caso;21490;3048;578;3048;22068;25479
Llanes;55649;10808;2560;10808;58209;81245
Colunga;28839;4717;540;4717;29380;42328
Sariego;7113;523;0;523;7113;8720
Villayón;18681;473;619;473;19300;19300
Ribadedeva;9240;725;431;725;9671;10184
Amieva;7116;665;1547;665;8663;8663
Somiedo;33515;2214;366;2214;33880;35193
Parres;9637;1042;504;1042;10141;15384
Onís;7081;2438;0;2438;7081;7081
Carreño;11369;2110;140;2110;11508;28848
Grandas de Salime;20533;729;0;729;20533;23420
Castropol;37046;1609;0;1609;37046;47846
Proaza;15990;789;140;789;16130;16798
Aller;22543;4267;1080;4267;23624;33207
Boal;12429;1406;0;1406;12429;14450
Grau/Grado;28507;2326;366;2326;28872;40734
San Martín de Oscos;12380;277;0;277;12380;12380
Illano;16712;637;1076;637;17787;17787
El Franco;11291;794;0;794;11291;18575
Villanueva de Oscos;7132;478;0;478;7132;7132
Las Regueras;6011;679;0;679;6011;6011
Peñamellera Baja;11478;815;0;815;11478;11478
Samartín del Rei Aurelio;23064;2251;192;2251;23256;42809
Noreña;1151;1313;172;1313;1323;17669
Belmonte de Miranda;12228;885;1326;885;13554;15527
Allande;41013;1434;34;1434;41048;42497
Laviana;25102;2720;987;2720;26088;35718
Muros de Nalón;6618;1509;0;1509;6618;15647
Avilés;28494;6171;2246;6171;30741;105415
Oviedo;76871;24896;3102;24896;79973;241138
Caravia;2037;889;0;889;2037;7588
