Santander;13886;33463;3134;33463;17020;273095
Camaleño;14150;1577;715;1577;14865;15874
Arenas de Iguña;4911;1319;61;1319;4972;19684
Valdeprado del Río;4207;685;95;685;4301;7963
Colindres;4127;655;0;655;4127;19921
Valdáliga;20997;1858;366;1858;21363;28863
Potes;214;1589;461;1589;675;7592
Castañeda;14165;372;117;372;14283;16513
Camargo;55096;2242;5667;2242;60763;113609
Corvera de Toranzo;19790;437;788;437;20577;22991
Entrambasaguas;542;3042;0;3042;542;25395
Udías;3470;155;173;155;3642;5544
Bareyo;5062;695;736;695;5797;27966
Piélagos;0;2701;1324;2701;1324;129943
Penagos;7178;1115;184;1115;7362;13629
Liérganes;5142;1193;464;1193;5605;13903
Santiurde de Reinosa;2336;249;0;249;2336;7539
Cabezón de la Sal;34913;1401;1929;1401;36842;45419
Alfoz de Lloredo;4476;764;124;764;4599;42437
Miera;1535;1176;152;1176;1687;5343
Tresviso;39;111;0;111;39;1078
Liendo;11140;309;1376;309;12517;17845
Selaya;4467;316;554;316;5021;10480
Los Tojos;2850;419;48;419;2898;3692
Castro-Urdiales;19133;8872;3388;8872;22522;93036
Vega de Pas;1470;774;61;774;1531;3104
Laredo;14581;3478;234;3478;14815;49520
Ampuero;3755;286;1589;286;5344;10102
Lamasón;3143;294;304;294;3447;4454
Herrerías;9038;663;631;663;9669;9965
Ruente;6022;858;0;858;6022;12189
Marina de Cudeyo;1177;1143;0;1143;1177;53565
Tudanca;4383;186;575;186;4959;5309
San Pedro del Romeral;1510;253;395;253;1905;2581
Campoo de Yuso;12242;749;13;749;12255;17890
Polanco;14416;651;3208;651;17624;24740
Meruelo;89;389;0;389;89;16575
San Vicente de la Barquera;5586;1106;905;1106;6491;15543
Vega de Liébana;4314;936;381;936;4694;18826
Mazcuerras;15077;474;678;474;15755;21688
Luena;5280;536;886;536;6166;7165
Cabezón de Liébana;7359;342;897;342;8256;13506
Rasines;1091;294;145;294;1236;1838
San Roque de Riomiera;85;1281;0;1281;85;85
Cieza;2439;226;716;226;3155;4243
Reocín;38913;1272;1615;1272;40527;49144
Bárcena de Cicero;11410;753;1868;753;13278;26412
Santa Cruz de Bezana;25306;1148;11135;1148;36441;66349
Puente Viesgo;13639;1044;0;1044;13639;25687
Molledo;14240;1129;0;1129;14240;18342
Arredondo;7370;477;1195;477;8565;9339
Valle de Villaverde;1632;425;0;425;1632;3298
Pesquera;0;111;0;111;0;1752
Ruesga;4417;718;794;718;5211;9732
Villacarriedo;9903;344;0;344;9903;14993
Hermandad de Campoo de Suso;13033;1960;795;1960;13828;27509
Limpias;2715;114;1193;114;3908;6112
Peñarrubia;7654;335;117;335;7771;9473
Bárcena de Pie de Concha;5288;205;0;205;5288;5288
Ramales de la Victoria;8288;1917;378;1917;8665;17395
Guriezo;10843;751;133;751;10976;12788
Valdeolea;5331;636;0;636;5331;18691
Val de San Vicente;15242;1185;393;1185;15635;28858
Arnuero;8790;729;910;729;9699;34833
Hazas de Cesto;8;355;0;355;8;15020
Villaescusa;20786;902;174;902;20960;30739
Comillas;16719;817;1395;817;18114;26654
Santillana del Mar;23297;1313;3359;1313;26656;34295
Santa María de Cayón;11777;4092;802;4092;12579;38378
Solórzano;198;286;0;286;198;6553
Escalante;65;260;0;260;65;5026
Suances;21265;1328;3282;1328;24547;61767
Campoo de Enmedio;11684;1065;460;1065;12144;31050
Los Corrales de Buelna;0;8909;0;8909;0;47769
Cillorigo de Liébana;8404;694;571;694;8974;10159
Santiurde de Toranzo;13292;363;76;363;13368;19793
Voto;11011;563;684;563;11695;22084
Santoña;2045;532;0;532;2045;26921
Pesaguero;6019;231;1776;231;7795;9840
Polaciones;2701;306;914;306;3615;5608
Saro;3552;108;104;108;3656;4235
Valderredible;919;2013;0;2013;919;37271
Medio Cudeyo;1811;3477;281;3477;2093;35809
El Astillero;15985;969;1246;969;17231;38219
Rionansa;3971;896;184;896;4156;19715
Cabuérniga;7844;629;0;629;7844;17359
Las Rozas de Valdearroyo;1004;379;0;379;1004;15316
Anievas;66;160;0;160;66;7538
Soba;2658;1995;0;1995;2658;26409
Noja;5137;1574;576;1574;5713;30267
Reinosa;4540;967;1413;967;5953;32467
Ribamontán al Mar;1056;3737;0;3737;1056;44539
Villafufre;8681;210;0;210;8681;15686
San Felices de Buelna;19045;1064;0;1064;19045;19690
San Miguel de Aguayo;717;192;0;192;717;1820
Miengo;8106;908;942;908;9048;30176
Cartes;12544;498;937;498;13481;17137
Torrelavega;1332;24676;0;24676;1332;128844
Ruiloba;9645;352;1540;352;11186;14785
Argoños;3764;340;2447;340;6211;23652
Riotuerto;3119;2220;164;2220;3283;18079
Ribamontán al Monte;4263;597;0;597;4263;15640
