Montorio;0;258;0;258;0;4625
Villambistia;0;57;0;57;0;1751
Pedrosa de Río Úrbel;3947;275;0;275;3947;4726
Ibrillos;881;27;0;27;881;881
Merindad de Sotoscueva;7719;1393;0;1393;7719;20570
Pedrosa de Duero;9230;243;0;243;9230;9230
Las Hormazas;2538;200;0;200;2538;2964
Sarracín;0;197;0;197;0;3011
Cascajares de la Sierra;990;111;0;111;990;2013
Cabezón de la Sierra;940;51;0;51;940;2026
Mahamud;644;213;17;213;661;3699
Villafruela;613;197;0;197;613;3887
Quintanilla del Coco;1409;45;0;45;1409;1409
Quintanaélez;1125;111;0;111;1125;2083
Villaverde-Mogina;2223;103;0;103;2223;3259
Retuerta;386;74;0;74;386;2069
Medina de Pomar;2214;9189;480;9189;2694;96671
Barbadillo del Pez;1530;138;0;138;1530;2071
Barrios de Colina;378;137;0;137;378;787
Rojas;0;74;0;74;0;2378
Coruña del Conde;272;118;0;118;272;2725
Villangómez;119;344;0;344;119;6297
Regumiel de la Sierra;4400;150;0;150;4400;6048
Torresandino;7877;362;0;362;7877;7877
Barbadillo de Herreros;1016;471;0;471;1016;3252
Cillaperlata;0;117;0;117;0;1815
Cayuela;261;141;0;141;261;3738
Torrelara;1449;51;0;51;1449;1505
Villanueva de Carazo;769;35;0;35;769;1192
Villahoz;2002;666;58;666;2060;7025
Alcocero de Mola;496;69;0;69;496;1538
Castrillo del Val;2267;892;293;892;2560;13110
Cavia;402;185;44;185;446;3756
Solarana;809;78;0;78;809;3443
Itero del Castillo;1440;152;0;152;1440;2966
Carrias;315;31;0;31;315;1202
Arauzo de Salce;1047;34;0;34;1047;1047
Arlanzón;4789;710;13;710;4802;9952
Padilla de Arriba;503;84;0;84;503;1849
Valdorros;1693;259;41;259;1734;9437
Santo Domingo de Silos;2331;749;27;749;2358;7697
Zael;1836;107;0;107;1836;1836
Tamarón;968;120;0;120;968;1560
Valle de Tobalina;2511;1274;401;1274;2912;30307
Abajas;7;136;0;136;7;2506
Fresnillo de las Dueñas;2684;494;0;494;2684;4846
Castrillo de la Vega;4133;294;0;294;4133;7433
Estépar;12338;1179;0;1179;12338;18957
Quintanapalla;30;151;0;151;30;2545
Hornillos del Camino;408;100;37;100;445;1141
Zuñeda;0;55;0;55;0;1688
Moradillo de Roa;248;95;0;95;248;3493
Madrigalejo del Monte;2561;279;0;279;2561;5154
Los Ausines;1311;243;0;243;1311;3770
Valles de Palenzuela;1926;108;0;108;1926;2005
Quintana del Pidio;3108;132;0;132;3108;3108
Villanueva de Teba;94;40;0;40;94;1949
Santa Olalla de Bureba;539;100;0;100;539;1723
Sargentes de la Lora;4205;285;0;285;4205;4784
La Horra;3093;269;0;269;3093;5603
Gumiel de Izán;3891;551;0;551;3891;10179
Partido de la Sierra en Tobalina;0;87;0;87;0;1931
Monasterio de Rodilla;392;319;177;319;569;3224
Ibeas de Juarros;3708;1396;0;1396;3708;19002
Barrio de Muñó;893;45;0;45;893;893
Jaramillo Quemado;1264;79;0;79;1264;2075
Berzosa de Bureba;0;35;0;35;0;1230
Monasterio de la Sierra;0;44;0;44;0;1060
Vizcaínos;944;100;0;100;944;944
Valle de Zamanzas;1344;142;0;142;1344;3821
Valle de Valdelucio;7226;1029;0;1029;7226;9515
Grijalba;2412;133;0;133;2412;2412
Arauzo de Torre;1787;264;0;264;1787;1787
Vileña;85;23;0;23;85;734
Valdezate;0;87;0;87;0;3175
Las Quintanillas;715;550;57;550;771;5021
Peral de Arlanza;147;795;0;795;147;3634
Valle de Sedano;3396;1396;0;1396;3396;16652
Orbaneja Riopico;644;254;24;254;668;3226
Villamayor de Treviño;849;110;0;110;849;2051
Navas de Bureba;630;32;0;32;630;2106
Revilla Vallejera;5655;204;0;204;5655;6662
Milagros;3692;179;0;179;3692;6989
Villagalijo;1528;55;0;55;1528;1528
Arija;26;664;0;664;26;8096
San Vicente del Valle;621;41;0;41;621;1501
Junta de Traslaloma;8800;341;0;341;8800;11317
Rábanos;1163;109;0;109;1163;2213
Valle de Losa;11354;1332;0;1332;11354;44306
Belorado;3966;653;0;653;3966;15089
Redecilla del Campo;1537;88;0;88;1537;3442
Zazuar;394;2245;0;2245;394;5057
Palazuelos de la Sierra;1834;67;0;67;1834;2297
Berberana;2413;215;0;215;2413;3389
Madrigal del Monte;2199;337;0;337;2199;3435
Villamayor de los Montes;1047;286;0;286;1047;4981
Fresno de Rodilla;0;103;0;103;0;1248
Frandovínez;314;162;0;162;314;2973
Pinilla de los Barruecos;861;316;0;316;861;2895
La Vid y Barrios;2862;350;0;350;2862;6083
Santibáñez de Esgueva;2552;122;0;122;2552;2552
Manciles;794;34;0;34;794;1101
Pineda de la Sierra;2373;183;0;183;2373;2418
Cantabrana;745;27;0;27;745;1033
Merindad de Valdivielso;14873;902;0;902;14873;17002
Barbadillo del Mercado;2079;192;0;192;2079;5637
Monterrubio de la Demanda;1974;83;0;83;1974;2486
Vadocondes;726;226;0;226;726;4088
Rubena;0;207;0;207;0;2166
Burgos;11064;44397;2207;44397;13271;301753
Huerta de Arriba;1873;129;0;129;1873;2583
Villafranca Montes de Oca;2252;478;72;478;2324;3922
Santa Cruz de la Salceda;1166;102;0;102;1166;3049
Alfoz de Bricia;7085;333;0;333;7085;8369
Moncalvillo;3046;34;0;34;3046;3046
Pedrosa del Príncipe;478;186;0;186;478;3094
Belbimbre;1250;85;0;85;1250;1531
Hontangas;1336;62;0;62;1336;2758
Llano de Bureba;357;52;0;52;357;1527
La Revilla y Ahedo;2729;142;0;142;2729;5472
Villadiego;30153;2214;98;2214;30251;41257
Pineda Trasmonte;2403;46;0;46;2403;2403
Fuentebureba;0;163;0;163;0;1987
Tosantos;182;64;0;64;182;2109
Villaverde del Monte;3786;203;0;203;3786;5481
Campillo de Aranda;380;71;0;71;380;2376
Villanueva de Argaño;743;128;0;128;743;2278
Villalbilla de Gumiel;2569;49;0;49;2569;2569
Reinoso;786;42;0;42;786;786
Santa Gadea del Cid;122;106;0;106;122;3568
Fresneña;5021;98;0;98;5021;5989
Castrillo de la Reina;1265;137;0;137;1265;5221
Villatuelda;742;291;24;291;766;2331
Alfoz de Santa Gadea;1673;208;0;208;1673;6154
Celada del Camino;1116;142;0;142;1116;3216
Pardilla;1317;383;0;383;1317;2294
Pinilla de los Moros;735;64;0;64;735;1703
Merindad de Montija;503;1581;80;1581;583;29930
Fontioso;2091;93;0;93;2091;2091
Anguix;2813;70;0;70;2813;2813
Aguas Cándidas;1722;116;0;116;1722;2096
Cardeñajimeno;2323;750;37;750;2360;15494
Oquillas;1279;84;0;84;1279;1279
Arcos;2306;321;152;321;2457;12279
Arandilla;1298;144;0;144;1298;2769
Sotresgudo;10163;1100;0;1100;10163;17153
Galbarros;132;39;0;39;132;1117
Jurisdicción de Lara;3084;116;0;116;3084;3084
Villaquirán de los Infantes;2617;205;0;205;2617;3397
Villegas;592;155;0;155;592;2928
Jaramillo de la Fuente;1859;73;0;73;1859;2037
Tejada;456;93;0;93;456;1377
Arenillas de Riopisuerga;276;225;0;225;276;3912
Ciadoncha;2973;100;0;100;2973;3239
Valluércanes;2715;50;0;50;2715;2715
Pancorbo;545;498;20;498;566;9843
Valmala;1142;49;0;49;1142;1742
Valle de Manzanedo;5263;374;0;374;5263;5522
Villaquirán de la Puebla;574;74;0;74;574;1394
Quintanar de la Sierra;8825;549;100;549;8925;18484
Padilla de Abajo;1351;135;0;135;1351;2855
Revillarruz;1311;533;0;533;1311;10018
Merindad de Cuesta-Urria;9347;1417;77;1417;9424;15404
Campolara;2080;86;0;86;2080;2608
Villazopeque;800;140;0;140;800;1751
San Mamés de Burgos;633;145;0;145;633;3284
Santa María del Invierno;62;142;0;142;62;2973
Iglesias;2669;197;0;197;2669;2669
Grisaleña;1413;70;0;70;1413;1413
Quintanilla del Agua y Tordueles;2483;366;0;366;2483;7692
Villalba de Duero;3092;1277;62;1277;3154;6899
Brazacorta;2498;57;0;57;2498;2498
Quintanavides;486;177;0;177;486;2091
Prádanos de Bureba;275;138;0;138;275;2341
Valle de Valdebezana;1936;1141;0;1141;1936;23634
Los Balbases;2845;456;115;456;2960;6974
Zarzosa de Río Pisuerga;0;74;0;74;0;1713
Santa Cruz del Valle Urbión;1122;134;0;134;1122;2174
Rebolledo de la Torre;3140;484;0;484;3140;4141
Isar;4366;368;0;368;4366;7685
Hortigüela;2386;182;0;182;2386;4379
Los Altos;6207;834;0;834;6207;10382
Pedrosa del Páramo;1866;57;0;57;1866;1866
Fuentespina;4456;183;0;183;4456;6068
Saldaña de Burgos;4130;296;0;296;4130;6423
Villariezo;1779;372;32;372;1811;12136
Trespaderne;4476;587;36;587;4512;15528
Quintanilla San García;1727;67;0;67;1727;1727
Castrillo Mota de Judíos;1173;136;101;136;1273;2622
Encío;382;97;24;97;406;1294
Cardeñadijo;468;353;53;353;520;10599
Palazuelos de Muñó;1061;90;0;90;1061;2181
Oña;7796;898;34;898;7830;14242
Mamolar;580;100;0;100;580;1481
Tordómar;1931;357;0;357;1931;6701
Carcedo de Burgos;746;376;0;376;746;10338
Valdeande;2665;175;0;175;2665;2665
Mambrillas de Lara;1849;232;0;232;1849;2642
Mecerreyes;403;322;22;322;424;3762
Rublacedo de Abajo;1474;43;0;43;1474;2405
Busto de Bureba;0;145;0;145;0;4540
Vallarta de Bureba;0;58;0;58;0;1923
Espinosa de los Monteros;2346;2020;0;2020;2346;20143
Olmillos de Muñó;1174;219;0;219;1174;1474
Villarcayo de Merindad de Castilla la Vieja;22887;2046;0;2046;22887;64759
Mambrilla de Castrejón;43;305;0;305;43;1773
Tubilla del Lago;3382;77;0;77;3382;3440
Iglesiarrubia;274;88;0;88;274;2704
Palacios de Riopisuerga;1609;42;0;42;1609;1609
San Millán de Lara;2227;94;17;94;2245;3117
Bañuelos de Bureba;1821;35;0;35;1821;1821
Piérnigas;0;37;0;37;0;1438
San Martín de Rubiales;2585;70;0;70;2585;2585
Villaldemiro;2146;146;0;146;2146;2227
Castrillo de Riopisuerga;1641;102;0;102;1641;1996
Frías;0;600;0;600;0;6866
Villaescusa de Roa;2134;35;0;35;2134;2134
Castil de Peones;209;127;0;127;209;1455
San Juan del Monte;1137;298;0;298;1137;2274
Rabé de las Calzadas;383;135;0;135;383;3486
Sotillo de la Ribera;2183;476;0;476;2183;7684
Haza;1104;89;0;89;1104;1285
Tórtoles de Esgueva;3145;305;0;305;3145;6902
Viloria de Rioja;0;52;0;52;0;1234
Fresneda de la Sierra Tirón;21;148;0;148;21;1490
Ameyugo;472;138;65;138;537;1490
Peñaranda de Duero;804;448;0;448;804;6586
Fuentelcésped;1602;97;0;97;1602;3648
La Vid de Bureba;237;29;0;29;237;1795
Sasamón;9218;1380;140;1380;9358;21820
Poza de la Sal;871;427;0;427;871;11629
Fuentemolinos;520;43;71;43;591;1744
Caleruega;1170;204;0;204;1170;6097
Espinosa de Cervera;116;75;0;75;116;1994
Arraya de Oca;0;34;0;34;0;1480
Merindad de Valdeporres;10973;2242;0;2242;10973;19763
Los Barrios de Bureba;4566;110;0;110;4566;6418
Canicosa de la Sierra;7596;117;0;117;7596;7915
Rezmondo;390;55;0;55;390;1105
Sordillos;564;43;0;43;564;1097
Condado de Treviño;489;4401;157;4401;647;44776
Villamedianilla;932;46;0;46;932;1744
Terradillos de Esgueva;2059;141;0;141;2059;2059
Quintanilla de la Mata;2314;90;0;90;2314;2367
Tobar;1058;102;0;102;1058;1058
