Santander;13957;32460;3104;32460;17060;272697
Camaleño;14150;1587;715;1587;14865;15874
Arenas de Iguña;4720;1304;0;1304;4720;19402
Valdeprado del Río;4207;685;95;685;4301;7963
Colindres;4146;655;0;655;4146;19921
Valdáliga;16109;1776;138;1776;16247;23747
Potes;214;1578;461;1578;675;7592
Castañeda;14175;369;117;369;14292;16522
Camargo;58283;2204;5667;2204;63950;113614
Corvera de Toranzo;19758;434;788;434;20545;22959
Entrambasaguas;542;3038;0;3038;542;25395
Udías;3470;155;173;155;3642;5544
Bareyo;5062;695;736;695;5797;27966
Piélagos;0;2686;1324;2686;1324;129988
Penagos;7178;1115;184;1115;7362;13629
Liérganes;4386;1170;0;1170;4386;12680
Santiurde de Reinosa;2336;249;0;249;2336;7539
Cabezón de la Sal;35321;1401;1930;1401;37251;45417
Alfoz de Lloredo;4132;728;124;728;4256;42007
Miera;1454;1166;0;1166;1454;5109
Tresviso;39;111;0;111;39;1078
Liendo;11140;308;1376;308;12517;17845
Selaya;2988;283;0;283;2988;7579
Los Tojos;3644;417;48;417;3692;3692
Castro-Urdiales;18768;8852;3388;8852;22156;92671
Vega de Pas;1470;764;61;764;1531;3402
Laredo;14581;3477;234;3477;14815;49520
Ampuero;4086;276;1543;276;5629;9899
Lamasón;3178;274;0;274;3178;4185
Herrerías;8237;636;0;636;8237;8533
Ruente;6495;842;0;842;6495;12234
Marina de Cudeyo;1057;1049;0;1049;1057;53444
Tudanca;4383;186;575;186;4959;5309
San Pedro del Romeral;1510;253;395;253;1905;2581
Campoo de Yuso;12242;749;13;749;12255;17890
Polanco;14416;652;3208;652;17624;24740
Meruelo;89;389;0;389;89;16575
San Vicente de la Barquera;7320;1006;641;1006;7961;16797
Vega de Liébana;4314;935;381;935;4694;18826
Mazcuerras;18206;464;678;464;18884;21648
Luena;4816;515;0;515;4816;5815
Cabezón de Liébana;7359;342;897;342;8256;13506
Rasines;1091;294;145;294;1236;1838
San Roque de Riomiera;85;1262;0;1262;85;85
Cieza;2157;188;0;188;2157;3245
Reocín;38873;1283;1615;1283;40487;49052
Bárcena de Cicero;11410;753;1868;753;13278;26412
Santa Cruz de Bezana;25306;1148;11135;1148;36441;66349
Puente Viesgo;14087;1038;0;1038;14087;25687
Molledo;14240;1129;0;1129;14240;18342
Arredondo;6649;450;579;450;7228;8002
Valle de Villaverde;1632;425;0;425;1632;3298
Pesquera;0;111;0;111;0;1752
Ruesga;4418;618;753;618;5171;9687
Villacarriedo;9329;336;0;336;9329;14418
Hermandad de Campoo de Suso;13051;1916;74;1916;13124;26804
Limpias;2715;114;1193;114;3908;6112
Peñarrubia;6550;318;0;318;6550;8252
Bárcena de Pie de Concha;5288;205;0;205;5288;5288
Ramales de la Victoria;8513;584;196;584;8709;17283
Guriezo;10843;747;133;747;10976;12788
Valdeolea;5331;636;0;636;5331;18691
Val de San Vicente;15242;1184;393;1184;15635;28858
Arnuero;8790;729;910;729;9699;34833
Hazas de Cesto;8;354;0;354;8;15020
Villaescusa;21311;891;229;891;21539;30734
Comillas;16976;809;1395;809;18371;26596
Santillana del Mar;23376;1280;4575;1280;27951;33237
Santa María de Cayón;11230;3637;681;3637;11911;37425
Solórzano;198;286;0;286;198;6553
Escalante;65;260;0;260;65;5026
Suances;21265;1328;3282;1328;24547;61767
Campoo de Enmedio;11684;1065;460;1065;12144;31050
Los Corrales de Buelna;0;8819;0;8819;0;47749
Cillorigo de Liébana;8315;679;0;679;8315;9499
Santiurde de Toranzo;13292;363;76;363;13368;19793
Voto;11011;563;684;563;11695;22084
Santoña;2045;531;0;531;2045;26921
Pesaguero;6019;230;1776;230;7795;9840
Polaciones;2896;288;914;288;3810;5803
Saro;1148;75;0;75;1148;1672
Valderredible;919;2000;0;2000;919;37274
Medio Cudeyo;1811;3477;281;3477;2093;35809
El Astillero;9925;966;1246;966;11172;31705
Rionansa;3971;672;184;672;4156;19728
Cabuérniga;10227;620;0;620;10227;17317
Las Rozas de Valdearroyo;1004;379;0;379;1004;15316
Anievas;66;160;0;160;66;7538
Soba;1252;1969;0;1969;1252;24956
Noja;5137;1573;576;1573;5713;30267
Reinosa;4540;967;1413;967;5953;32467
Ribamontán al Mar;1056;3732;0;3732;1056;44519
Villafufre;12141;194;0;194;12141;13502
San Felices de Buelna;19046;1043;0;1043;19046;19690
San Miguel de Aguayo;717;192;0;192;717;1820
Miengo;7958;909;942;909;8900;30028
Cartes;12538;493;937;493;13475;17134
Torrelavega;1354;24601;0;24601;1354;128022
Ruiloba;9218;313;1541;313;10760;14244
Argoños;3764;340;2447;340;6211;23652
Riotuerto;3142;2219;164;2219;3306;18095
Ribamontán al Monte;4263;586;0;586;4263;15535
